2020-11-22,"18.412,9",Saída
2020-11-21,"18.687,2",---
2020-11-20,"18.675,2",---
2020-11-19,"17.803,5",---
2020-11-18,"17.774,6",---
2020-11-17,"17.662,3",---
2020-11-16,"16.715,8",---
2020-11-15,"15.953,0",Entrada
2020-11-14,"16.071,0",Saída
2020-11-13,"16.324,2",---
2020-11-11,"15.695,8",---
2020-11-10,"15.303,6",Entrada
2020-11-09,"15.327,2",---
2020-11-08,"15.483,7",---
2020-11-07,"14.828,4",Saída
2020-11-06,"15.577,9",---
2020-11-05,"15.587,1",---
2020-11-04,"14.145,6",---
2020-11-03,"14.019,9",---
2020-11-02,"13.561,4",Entrada
2020-11-01,"13.759,4",Saída
2020-10-31,"13.797,3",---
2020-11-12,"16.294,7",---
2020-10-30,"13.559,9",Entrada
2020-10-29,"13.457,2",---
2020-10-28,"13.278,9",Saída
2020-10-27,"13.657,8",---
2020-10-26,"13.061,6",Entrada
2020-10-25,"13.032,2",Saída
2020-10-24,"13.117,2",---
2020-10-23,"12.934,1",---
2020-10-21,"12.808,7",---
2020-10-22,"12.974,6",---
2020-10-20,"11.913,5",---
2020-10-19,"11.753,4",---
2020-10-18,"11.506,9",---
2020-10-16,"11.322,0",Saída
2020-10-17,"11.362,1",Entrada
2020-10-15,"11.503,0",---
2020-10-14,"11.420,4",Entrada
2020-10-13,"11.423,8",Saída
2020-10-11,"11.371,0",---
2020-10-10,"11.298,4",---
2020-10-09,"11.054,2",---
2020-10-08,"10.924,1",---
2020-10-12,"11.533,9",---
2020-10-07,"10.670,9",---
2020-10-06,"10.602,6",---
2020-10-05,"10.789,5",---
2020-10-03,"10.544,2",Entrada
2020-10-04,"10.672,9",---
2020-10-02,"10.572,3",---
2020-09-30,"10.776,1",Saída
2020-10-01,"10.620,5",---
2020-09-29,"10.840,9",---
2020-09-28,"10.693,2",---
2020-09-27,"10.776,2",---
2020-09-26,"10.727,9",---
2020-09-25,"10.688,8",---
2020-09-24,"10.739,4",---
2020-09-23,"10.237,3",Entrada
2020-09-22,"10.531,5",---
2020-09-21,"10.416,8",---
2020-09-20,"10.921,5",Saída
2020-09-19,"11.081,8",---
2020-09-18,"10.933,0",---
2020-09-16,"10.949,5",---
2020-09-14,"10.675,3",---
2020-09-17,"10.941,3",---
2020-09-13,"10.326,0",---
2020-09-11,"10.390,2",---
2020-09-10,"10.339,7",---
2020-09-09,"10.224,6",---
2020-09-12,"10.441,9",---
2020-09-08,"10.126,6",---
2020-09-06,"10.296,4",---
2020-09-07,"10.376,9",---
2020-09-05,"10.092,2",Entrada
2020-09-03,"10.168,8",---
2020-09-04,"10.472,5",---
2020-09-02,"11.413,3",Saída
2020-08-31,"11.644,2",---
2020-09-01,"11.914,9",---
2020-08-30,"11.702,0",---
2020-08-29,"11.468,1",---
2020-08-28,"11.527,4",---
2020-08-26,"11.462,3",---
2020-08-27,"11.327,4",Entrada
2020-08-25,"11.324,8",Saída
2020-08-23,"11.641,6",Entrada
2020-08-24,"11.753,5",---
2020-08-22,"11.661,3",---
2020-08-20,"11.856,9",---
2020-08-21,"11.529,2",---
2020-08-19,"11.750,2",---
2020-08-17,"12.282,6",---
2020-08-18,"11.947,6",Saída
2020-08-16,"11.899,0",---
2020-08-14,"11.750,8",---
2020-08-15,"11.845,3",---
2020-08-13,"11.770,9",---
2020-08-11,"11.390,4",Saída
2020-08-12,"11.557,2",Entrada
2020-08-10,"11.889,2",---
2020-08-09,"11.681,2",---
2020-08-08,"11.764,3",---
