"2020-08-22T00:00:00Z[Etc/UTC]","395.56","---"
"2020-08-23T00:00:00Z[Etc/UTC]","390.5","Entrada"
"2020-08-24T00:00:00Z[Etc/UTC]","407.7","---"
"2020-08-25T00:00:00Z[Etc/UTC]","383.2","Saída"
"2020-08-26T00:00:00Z[Etc/UTC]","385.96","---"
"2020-08-27T00:00:00Z[Etc/UTC]","383.11","Entrada"
"2020-08-28T00:00:00Z[Etc/UTC]","395.11","---"
"2020-08-30T00:00:00Z[Etc/UTC]","428.86","---"
"2020-08-31T00:00:00Z[Etc/UTC]","433.9","---"
"2020-09-01T00:00:00Z[Etc/UTC]","475.8","---"
"2020-09-02T00:00:00Z[Etc/UTC]","439.08","Saída"
"2020-09-03T00:00:00Z[Etc/UTC]","381.97","---"
"2020-09-04T00:00:00Z[Etc/UTC]","385.94","---"
"2020-09-05T00:00:00Z[Etc/UTC]","334.91","---"
"2020-09-06T00:00:00Z[Etc/UTC]","353.49","---"
"2020-09-07T00:00:00Z[Etc/UTC]","352.06","---"
"2020-09-08T00:00:00Z[Etc/UTC]","337.46","Entrada"
"2020-09-09T00:00:00Z[Etc/UTC]","351.1","---"
"2020-09-10T00:00:00Z[Etc/UTC]","367.92","---"
"2020-09-11T00:00:00Z[Etc/UTC]","373.72","---"
"2020-09-13T00:00:00Z[Etc/UTC]","365.71","Saída"
"2020-09-12T00:00:00Z[Etc/UTC]","387.98","---"
"2020-09-14T00:00:00Z[Etc/UTC]","376.7","---"
"2020-09-15T00:00:00Z[Etc/UTC]","364.01","Saída"
"2020-09-16T00:00:00Z[Etc/UTC]","364.88","Entrada"
"2020-09-17T00:00:00Z[Etc/UTC]","388.97","---"
"2020-09-18T00:00:00Z[Etc/UTC]","384.2","---"
"2020-09-19T00:00:00Z[Etc/UTC]","385.25","---"
"2020-09-20T00:00:00Z[Etc/UTC]","371.12","Saída"
"2020-09-21T00:00:00Z[Etc/UTC]","341.3","---"
"2020-09-22T00:00:00Z[Etc/UTC]","344.03","---"
"2020-09-23T00:00:00Z[Etc/UTC]","319.95","Entrada"
"2020-09-24T00:00:00Z[Etc/UTC]","349.17","---"
"2020-09-25T00:00:00Z[Etc/UTC]","351.63","---"
"2020-09-26T00:00:00Z[Etc/UTC]","354.25","---"
"2020-09-27T00:00:00Z[Etc/UTC]","357.23","---"
"2020-09-28T00:00:00Z[Etc/UTC]","354.08","---"
"2020-09-29T00:00:00Z[Etc/UTC]","359.86","---"
"2020-09-30T00:00:00Z[Etc/UTC]","359.39","---"
"2020-10-01T00:00:00Z[Etc/UTC]","353.07","Saída"
"2020-10-02T00:00:00Z[Etc/UTC]","345.68","---"
"2020-10-03T00:00:00Z[Etc/UTC]","345.6","Entrada"
"2020-10-04T00:00:00Z[Etc/UTC]","352.73","---"
"2020-10-05T00:00:00Z[Etc/UTC]","353.28","---"
"2020-10-06T00:00:00Z[Etc/UTC]","340.61","Saída"
"2020-10-07T00:00:00Z[Etc/UTC]","341.48","Entrada"
"2020-10-08T00:00:00Z[Etc/UTC]","350.83","---"
"2020-10-09T00:00:00Z[Etc/UTC]","365.28","---"
"2020-10-10T00:00:00Z[Etc/UTC]","370.16","---"
"2020-10-11T00:00:00Z[Etc/UTC]","374.19","---"
"2020-10-12T00:00:00Z[Etc/UTC]","386.68","---"
"2020-10-13T00:00:00Z[Etc/UTC]","381.23","---"
"2020-10-14T00:00:00Z[Etc/UTC]","379.15","Saída"
"2020-10-15T00:00:00Z[Etc/UTC]","377.45","---"
"2020-10-16T00:00:00Z[Etc/UTC]","365.17","---"
"2020-10-17T00:00:00Z[Etc/UTC]","368.63","Entrada"
"2020-10-18T00:00:00Z[Etc/UTC]","377.81","---"
"2020-10-19T00:00:00Z[Etc/UTC]","379.19","---"
"2020-10-20T00:00:00Z[Etc/UTC]","368.35","Saída"
"2020-10-21T00:00:00Z[Etc/UTC]","391.2","---"
"2020-10-22T00:00:00Z[Etc/UTC]","414.05","---"
"2020-10-23T00:00:00Z[Etc/UTC]","408.52","---"
"2020-10-24T00:00:00Z[Etc/UTC]","411.92","---"
"2020-10-25T00:00:00Z[Etc/UTC]","406.09","Saída"
"2020-10-26T00:00:00Z[Etc/UTC]","394.11","---"
"2020-10-27T00:00:00Z[Etc/UTC]","403.15","---"
"2020-10-28T00:00:00Z[Etc/UTC]","388.14","---"
"2020-10-29T00:00:00Z[Etc/UTC]","386.76","---"
"2020-10-31T00:00:00Z[Etc/UTC]","386.42","Entrada"
"2020-10-30T00:00:00Z[Etc/UTC]","382.41","---"
"2020-11-01T00:00:00Z[Etc/UTC]","396.29","---"
"2020-11-02T00:00:00Z[Etc/UTC]","383.53","Saída"
"2020-11-03T00:00:00Z[Etc/UTC]","387.92","Entrada"
"2020-11-04T00:00:00Z[Etc/UTC]","402.19","---"
"2020-11-05T00:00:00Z[Etc/UTC]","416.63","---"
"2020-11-06T00:00:00Z[Etc/UTC]","455.72","---"
"2020-11-07T00:00:00Z[Etc/UTC]","435.4","Saída"
"2020-11-08T00:00:00Z[Etc/UTC]","454.68","---"
"2020-11-09T00:00:00Z[Etc/UTC]","444.33","Saída"
"2020-11-10T00:00:00Z[Etc/UTC]","450.22","---"
"2020-11-11T00:00:00Z[Etc/UTC]","463.33","---"
"2020-11-12T00:00:00Z[Etc/UTC]","462.56","---"
"2020-11-13T00:00:00Z[Etc/UTC]","476.29","---"
"2020-11-14T00:00:00Z[Etc/UTC]","460.7","Saída"
"2020-11-15T00:00:00Z[Etc/UTC]","448.23","---"
"2020-11-16T00:00:00Z[Etc/UTC]","460.43","Entrada"
"2020-11-17T00:00:00Z[Etc/UTC]","481.95","---"
"2020-11-18T00:00:00Z[Etc/UTC]","478.52","---"
"2020-11-19T00:00:00Z[Etc/UTC]","471.21","Saída"
"2020-08-29T00:00:00Z[Etc/UTC]","398.8","---"
"2020-11-21T00:00:00Z[Etc/UTC]","551.91","---"
"2020-11-22T00:00:00Z[Etc/UTC]","559.4","---"
