"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"2020-10-17T00:00:00Z[Etc/UTC]","368.63","365.08","369.94","363.18","4.98","---"
"2020-10-18T00:00:00Z[Etc/UTC]","377.81","368.61","378.49","367.54","4.68","---"
"2020-10-19T00:00:00Z[Etc/UTC]","379.19","377.85","383.97","372.72","6.85","---"
"2020-10-20T00:00:00Z[Etc/UTC]","368.35","379.03","380.14","367.16","7.46","---"
"2020-10-21T00:00:00Z[Etc/UTC]","391.2","368.53","400.36","368.06","13.61","---"
"2020-10-22T00:00:00Z[Etc/UTC]","414.05","391.39","420.12","391.21","12.65","---"
"2020-10-23T00:00:00Z[Etc/UTC]","408.52","414.12","419.11","402.91","8.18","---"
"2020-10-24T00:00:00Z[Etc/UTC]","411.92","408.59","416.28","407.74","2.68","---"
"2020-10-25T00:00:00Z[Etc/UTC]","406.09","412.44","417.07","403.95","3.05","---"
"2020-10-26T00:00:00Z[Etc/UTC]","394.11","406.45","410.41","383.21","9.06","---"
"2020-10-27T00:00:00Z[Etc/UTC]","403.15","393.93","409.85","390.92","6.29","---"
"2020-10-28T00:00:00Z[Etc/UTC]","388.14","403.11","408.1","381.51","9.96","---"
"2020-10-29T00:00:00Z[Etc/UTC]","386.76","388.25","393.33","381.53","3.04","---"
"2020-10-30T00:00:00Z[Etc/UTC]","382.41","387.16","391.98","374.36","2.81","---"
"2020-10-31T00:00:00Z[Etc/UTC]","386.42","382.81","394.01","380.53","6.42","---"
"2020-11-01T00:00:00Z[Etc/UTC]","396.29","386.36","397.32","384.94","5.52","---"
"2020-11-02T00:00:00Z[Etc/UTC]","383.53","396.45","404.04","379.13","9.43","---"
"2020-11-03T00:00:00Z[Etc/UTC]","387.92","383.64","389.98","370.96","6.73","---"
"2020-11-04T00:00:00Z[Etc/UTC]","402.19","388.23","407.9","377.22","6.17","---"
"2020-11-05T00:00:00Z[Etc/UTC]","416.63","402.5","419.94","396.46","7.04","---"
"2020-11-06T00:00:00Z[Etc/UTC]","455.72","416.59","457.79","415.08","6.53","---"
"2020-11-07T00:00:00Z[Etc/UTC]","435.4","455.78","467.88","425.57","7.78","---"
"2020-11-08T00:00:00Z[Etc/UTC]","454.68","435.39","460.09","432.44","4.82","---"
"2020-11-09T00:00:00Z[Etc/UTC]","444.33","454.55","458.51","434.95","28.85","---"
"2020-11-10T00:00:00Z[Etc/UTC]","450.22","444.38","454.43","439.5","20.76","---"
"2020-11-11T00:00:00Z[Etc/UTC]","463.33","450.26","476.08","449.51","15.13","---"
"2020-11-12T00:00:00Z[Etc/UTC]","462.56","463.33","469.57","452.44","9.33","---"
"2020-11-13T00:00:00Z[Etc/UTC]","476.29","462.61","477.78","457.65","9.85","---"
"2020-11-14T00:00:00Z[Etc/UTC]","460.7","476.38","477.34","452.6","9.17","---"
"2020-11-15T00:00:00Z[Etc/UTC]","448.23","460.75","462.93","440.44","9.34","---"
"2020-11-16T00:00:00Z[Etc/UTC]","460.43","448.18","465.97","445.82","5.62","---"
"2020-11-17T00:00:00Z[Etc/UTC]","481.95","460.37","484.59","459.74","7.93","---"
"2020-11-18T00:00:00Z[Etc/UTC]","478.52","482.05","495.04","459.92","18.19","---"
"2020-11-19T00:00:00Z[Etc/UTC]","471.21","478.55","480.55","465.41","12.53","---"
"2020-11-20T00:00:00Z[Etc/UTC]","509.98","471.27","513.06","471.06","30.85","---"
"2020-11-21T00:00:00Z[Etc/UTC]","551.91","509.94","552.13","505.14","26.86","---"
"2020-11-22T00:00:00Z[Etc/UTC]","559.4","551.9","580.0","514.44","36.76","---"
"2020-11-23T00:00:00Z[Etc/UTC]","609.22","559.37","610.33","551.8","49.68","---"
"2020-11-24T00:00:00Z[Etc/UTC]","605.03","609.2","621.7","589.56","41.11","---"
"2020-11-25T00:00:00Z[Etc/UTC]","569.67","605.01","605.63","555.32","14.5","---"
"2020-11-26T00:00:00Z[Etc/UTC]","519.32","569.69","577.08","484.03","13.11","---"
"2020-11-27T00:00:00Z[Etc/UTC]","518.11","519.69","530.41","494.65","6.42","---"
"2020-11-28T00:00:00Z[Etc/UTC]","537.74","518.7","547.94","506.97","5.34","---"
"2020-11-29T00:00:00Z[Etc/UTC]","575.45","537.89","576.52","530.71","5.79","---"
"2020-11-30T00:00:00Z[Etc/UTC]","615.92","575.35","615.97","571.04","51.72","---"
"2020-12-01T00:00:00Z[Etc/UTC]","585.66","616.78","635.66","567.79","49.42","---"
"2020-12-02T00:00:00Z[Etc/UTC]","598.05","585.69","604.34","575.24","16.21","---"
"2020-12-03T00:00:00Z[Etc/UTC]","616.32","597.94","622.1","587.15","24.0","---"
"2020-12-04T00:00:00Z[Etc/UTC]","567.91","616.33","619.61","566.34","48.95","---"
"2020-12-05T00:00:00Z[Etc/UTC]","596.68","567.84","596.73","561.24","30.83","---"
"2020-12-06T00:00:00Z[Etc/UTC]","601.68","596.61","606.9","583.67","13.14","---"
"2020-12-07T00:00:00Z[Etc/UTC]","591.09","601.54","603.06","584.53","7.72","---"
"2020-12-08T00:00:00Z[Etc/UTC]","555.05","591.03","594.78","551.08","8.11","---"
"2020-12-09T00:00:00Z[Etc/UTC]","573.21","554.95","577.94","530.88","9.1","---"
"2020-12-10T00:00:00Z[Etc/UTC]","558.13","573.28","575.56","548.99","19.6","---"
"2020-12-11T00:00:00Z[Etc/UTC]","544.17","558.15","560.28","536.43","30.17","---"
"2020-12-12T00:00:00Z[Etc/UTC]","567.78","544.16","573.59","543.9","1.62","---"
"2020-12-13T00:00:00Z[Etc/UTC]","591.09","568.07","594.83","563.37","2.03","---"
"2020-12-14T00:00:00Z[Etc/UTC]","586.19","590.66","591.41","576.01","1.78","---"
"2020-12-15T00:00:00Z[Etc/UTC]","588.91","586.22","596.97","579.95","1.74","---"
"2020-12-16T00:00:00Z[Etc/UTC]","637.38","588.81","638.18","580.9","3.11","---"
"2020-12-17T00:00:00Z[Etc/UTC]","643.17","637.29","675.68","627.36","3.67","---"
"2020-12-18T00:00:00Z[Etc/UTC]","653.85","643.28","664.26","630.44","2.63","---"
"2020-12-19T00:00:00Z[Etc/UTC]","658.17","654.08","669.54","645.91","2.17","---"
"2020-12-20T00:00:00Z[Etc/UTC]","638.26","657.79","661.04","622.39","2.11","---"
"2020-12-21T00:00:00Z[Etc/UTC]","607.85","638.28","647.87","599.97","1.88","---"
"2020-12-22T00:00:00Z[Etc/UTC]","637.47","607.86","637.47","588.24","2.12","---"
"2020-12-23T00:00:00Z[Etc/UTC]","585.69","637.04","638.11","554.09","2.2","---"
"2020-12-24T00:00:00Z[Etc/UTC]","612.34","585.47","614.92","566.15","1.72","---"
"2020-12-25T00:00:00Z[Etc/UTC]","626.93","612.38","633.9","605.01","1.7","---"
"2020-12-26T00:00:00Z[Etc/UTC]","636.58","626.99","652.36","616.04","1.94","---"
"2020-12-27T00:00:00Z[Etc/UTC]","683.71","636.35","715.46","627.12","2.31","---"
"2020-12-28T00:00:00Z[Etc/UTC]","730.05","683.76","747.86","682.47","2.75","---"
"2020-12-29T00:00:00Z[Etc/UTC]","731.76","730.26","739.77","690.24","1.82","---"
"2020-12-30T00:00:00Z[Etc/UTC]","751.8","732.04","757.11","720.21","1.86","---"
"2020-12-31T00:00:00Z[Etc/UTC]","735.94","751.92","755.13","724.67","1.04","---"
"2021-01-01T00:00:00Z[Etc/UTC]","729.12","735.87","748.96","715.74","1.64","---"
"2021-01-02T00:00:00Z[Etc/UTC]","774.5","729.0","787.26","715.15","2.25","---"
"2021-01-03T00:00:00Z[Etc/UTC]","974.97","774.54","1008.49","769.57","4.02","---"
"2021-01-04T00:00:00Z[Etc/UTC]","1042.4","977.76","1158.27","894.24","5.19","---"
"2021-01-05T00:00:00Z[Etc/UTC]","1099.52","1042.48","1131.56","976.91","3.25","---"
"2021-01-06T00:00:00Z[Etc/UTC]","1207.77","1099.77","1210.78","1060.67","3.75","---"
"2021-01-07T00:00:00Z[Etc/UTC]","1224.35","1208.71","1286.81","1153.09","2.71","---"
"2021-01-08T00:00:00Z[Etc/UTC]","1215.73","1224.33","1271.08","1069.25","2.71","---"
"2021-01-09T00:00:00Z[Etc/UTC]","1275.58","1215.92","1301.75","1172.39","1.99","---"
"2021-01-10T00:00:00Z[Etc/UTC]","1256.04","1275.87","1347.98","1180.45","2.65","---"
"2021-01-11T00:00:00Z[Etc/UTC]","1091.47","1255.84","1257.3","917.96","4.19","---"
"2021-01-12T00:00:00Z[Etc/UTC]","1050.19","1086.96","1149.19","1008.28","3.09","---"
"2021-01-13T00:00:00Z[Etc/UTC]","1128.46","1050.2","1134.66","990.96","2.25","---"
"2021-01-14T00:00:00Z[Etc/UTC]","1226.17","1128.8","1246.52","1088.52","1.55","---"
"2021-01-15T00:00:00Z[Etc/UTC]","1171.68","1233.34","1256.13","1079.19","2.85","---"
"2021-01-16T00:00:00Z[Etc/UTC]","1228.27","1172.12","1290.92","1154.04","2.29","---"
"2021-01-17T00:00:00Z[Etc/UTC]","1232.64","1228.33","1269.01","1168.39","2.15","---"
"2021-01-18T00:00:00Z[Etc/UTC]","1258.06","1233.93","1260.3","1184.15","1.73","---"
"2021-01-19T00:00:00Z[Etc/UTC]","1372.0","1258.1","1437.42","1252.36","2.27","---"
"2021-01-20T00:00:00Z[Etc/UTC]","1377.53","1372.0","1406.56","1237.27","3.05","---"
"2021-01-21T00:00:00Z[Etc/UTC]","1117.33","1377.63","1387.39","1095.26","2.76","---"
"2021-01-22T00:00:00Z[Etc/UTC]","1234.58","1118.01","1272.85","1045.02","2.94","---"
"2021-01-23T00:00:00Z[Etc/UTC]","1233.4","1234.34","1271.65","1196.94","1.46","---"
"2021-01-24T00:00:00Z[Etc/UTC]","1390.28","1233.41","1398.0","1222.14","2.3","---"
"2021-01-25T00:00:00Z[Etc/UTC]","1317.9","1390.69","1474.68","1298.13","2.77","---"
"2021-01-26T00:00:00Z[Etc/UTC]","1366.27","1317.67","1377.94","1246.45","2.56","---"
"2021-01-27T00:00:00Z[Etc/UTC]","1247.62","1366.14","1372.31","1210.4","2.9","---"
"2021-01-28T00:00:00Z[Etc/UTC]","1328.47","1247.67","1359.51","1221.15","814.31","---"
"2021-01-29T00:00:00Z[Etc/UTC]","1379.3","1329.16","1436.27","1288.26","3.33","---"
"2021-01-30T00:00:00Z[Etc/UTC]","1376.96","1379.78","1405.78","1327.66","1.59","---"
"2021-01-31T00:00:00Z[Etc/UTC]","1312.73","1377.05","1380.04","1282.41","1.54","---"
"2021-02-01T00:00:00Z[Etc/UTC]","1373.4","1312.69","1376.44","1272.09","1.65","---"
"2021-02-02T00:00:00Z[Etc/UTC]","1511.36","1373.31","1546.88","1361.63","2.73","---"
"2021-02-03T00:00:00Z[Etc/UTC]","1664.34","1511.96","1667.93","1510.27","2.27","---"
"2021-02-04T00:00:00Z[Etc/UTC]","1594.0","1664.19","1693.64","1570.45","2.34","---"
"2021-02-05T00:00:00Z[Etc/UTC]","1719.2","1593.91","1760.09","1589.28","1.8","---"
"2021-02-06T00:00:00Z[Etc/UTC]","1676.63","1719.11","1742.9","1648.03","1.78","---"
"2021-02-07T00:00:00Z[Etc/UTC]","1612.99","1676.62","1692.29","1491.68","1.94","---"
"2021-02-08T00:00:00Z[Etc/UTC]","1750.18","1612.98","1775.12","1566.43","2.17","---"
"2021-02-09T00:00:00Z[Etc/UTC]","1770.63","1750.19","1818.94","1711.4","1.94","---"
"2021-02-10T00:00:00Z[Etc/UTC]","1742.09","1770.81","1835.4","1683.52","2.01","---"
"2021-02-11T00:00:00Z[Etc/UTC]","1786.35","1742.11","1817.68","1704.97","1.56","---"
"2021-02-12T00:00:00Z[Etc/UTC]","1841.02","1786.74","1862.17","1741.04","1.75","---"
"2021-02-13T00:00:00Z[Etc/UTC]","1815.49","1840.9","1871.36","1766.05","1.44","---"
"2021-02-14T00:00:00Z[Etc/UTC]","1801.78","1815.44","1850.0","1787.11","1.43","---"
"2021-02-15T00:00:00Z[Etc/UTC]","1778.82","1800.6","1835.51","1661.09","1.94","---"
"2021-02-16T00:00:00Z[Etc/UTC]","1781.69","1778.63","1827.07","1726.78","1.48","---"
"2021-02-17T00:00:00Z[Etc/UTC]","1847.95","1781.44","1854.03","1734.15","1.69","---"
"2021-02-18T00:00:00Z[Etc/UTC]","1934.16","1849.95","1950.04","1849.05","881.87","---"
"2021-02-19T00:00:00Z[Etc/UTC]","1955.59","1934.17","1968.93","1892.7","1.78","---"
"2021-02-20T00:00:00Z[Etc/UTC]","1913.88","1955.54","2040.79","1800.0","2.29","---"
"2021-02-21T00:00:00Z[Etc/UTC]","1933.45","1912.97","1974.99","1885.7","1.47","---"
"2021-02-22T00:00:00Z[Etc/UTC]","1777.28","1933.52","1935.04","1561.68","2.68","---"
"2021-02-23T00:00:00Z[Etc/UTC]","1578.11","1777.25","1781.44","1370.45","3.6","---"
"2021-02-24T00:00:00Z[Etc/UTC]","1623.71","1578.27","1711.16","1505.79","2.19","---"
"2021-02-25T00:00:00Z[Etc/UTC]","1476.15","1623.76","1669.24","1460.92","1.75","---"
"2021-02-26T00:00:00Z[Etc/UTC]","1445.44","1476.77","1561.66","1403.3","2.13","---"
"2021-02-27T00:00:00Z[Etc/UTC]","1458.93","1445.69","1527.69","1427.15","1.56","---"
"2021-02-28T00:00:00Z[Etc/UTC]","1418.76","1458.84","1467.76","1294.79","2.07","---"
"2021-03-01T00:00:00Z[Etc/UTC]","1570.03","1418.91","1571.15","1411.55","1.92","---"
"2021-03-02T00:00:00Z[Etc/UTC]","1488.62","1570.0","1602.13","1457.22","1.74","---"
"2021-03-03T00:00:00Z[Etc/UTC]","1571.05","1488.8","1653.04","1477.72","1.17","---"
"2021-03-04T00:00:00Z[Etc/UTC]","1538.61","1567.84","1623.73","1506.86","1.7","---"
"2021-03-05T00:00:00Z[Etc/UTC]","1530.29","1539.73","1548.71","1443.32","1.67","---"
"2021-03-06T00:00:00Z[Etc/UTC]","1649.19","1530.24","1670.01","1514.62","2.07","---"
"2021-03-07T00:00:00Z[Etc/UTC]","1728.1","1650.94","1732.84","1634.73","1.69","---"
